City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,77.97,72,97,11.07,light rain
1,Ciudad Guayana,VE,8.3533,-62.6528,83.52,67,41,7.0,scattered clouds
2,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,10.36,clear sky
3,Qaanaaq,GL,77.484,-69.3632,-7.37,61,96,8.88,overcast clouds
4,Kapaa,US,22.0752,-159.319,66.18,88,0,6.91,clear sky
5,Cape Town,ZA,-33.9258,18.4232,73.81,49,0,8.01,clear sky
6,Serenje,ZM,-13.2325,30.2352,61.12,98,100,7.63,overcast clouds
7,Busselton,AU,-33.65,115.3333,74.08,73,0,6.46,clear sky
8,Provideniya,RU,64.3833,-173.3,-0.42,65,7,15.08,clear sky
9,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,17.27,light rain
10,Praya,CV,14.9215,-23.5087,84.74,32,0,18.41,clear sky
11,New Norfolk,AU,-42.7826,147.0587,58.91,72,81,1.77,broken clouds
12,Naze,JP,28.3667,129.4833,52.56,58,97,16.69,overcast clouds
13,Shahapur,IN,19.45,73.3333,74.68,56,2,2.91,clear sky
14,Butaritari,KI,3.0707,172.7902,82.02,75,11,17.0,light rain
15,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,20,8.05,few clouds
16,Paamiut,GL,61.994,-49.6678,7.79,70,100,14.25,overcast clouds
17,Tromso,NO,69.6496,18.957,21.22,73,75,28.77,broken clouds
18,Palmer,US,42.1584,-72.3287,36.21,100,100,5.75,mist
19,Saskylakh,RU,71.9167,114.0833,-8.19,99,100,4.21,light snow
20,Pevek,RU,69.7008,170.3133,-24.12,100,94,3.91,overcast clouds
21,Calderitas,MX,18.55,-88.25,82.51,83,40,0.0,scattered clouds
22,Souillac,MU,-20.5167,57.5167,80.37,94,75,17.27,light rain
23,Rawson,AR,-43.3002,-65.1023,62.89,82,75,13.8,moderate rain
24,Fougamou,GA,-1.2154,10.5838,82.02,76,76,0.65,light rain
25,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,86.23,61,64,10.09,broken clouds
26,Ukiah,US,39.1502,-123.2078,50.38,78,0,0.0,clear sky
